51 4 5
0 0 -1 -1.2
0.02 0.02 -0.98 -1.212
0.04 0.04 -0.96 -1.224
0.06 0.06 -0.94 -1.236
0.08 0.08 -0.92 -1.248
0.1 0.1 -0.9 -1.26
0.12 0.12 -0.88 -1.272
0.14 0.14 -0.86 -1.284
0.16 0.16 -0.84 -1.296
0.18 0.18 -0.82 -1.308
0.2 0.2 -0.8 -1.32
0.22 0.22 -0.78 -1.332
0.24 0.24 -0.76 -1.344
0.26 0.26 -0.74 -1.356
0.28 0.28 -0.72 -1.368
0.3 0.3 -0.7 -1.38
0.32 0.32 -0.68 -1.392
0.34 0.34 -0.66 -1.404
0.36 0.36 -0.64 -1.416
0.38 0.38 -0.62 -1.428
0.4 0.4 -0.6 -1.44
0.42 0.42 -0.58 -1.452
0.44 0.44 -0.56 -1.464
0.46 0.46 -0.54 -1.476
0.48 0.48 -0.52 -1.488
0.5 0.5 -0.5 -1.5
0.52 0.52 -0.48 -1.512
0.54 0.54 -0.46 -1.524
0.56 0.56 -0.44 -1.536
0.58 0.58 -0.42 -1.548
0.6 0.6 -0.4 -1.56
0.62 0.62 -0.38 -1.572
0.64 0.64 -0.36 -1.584
0.66 0.66 -0.34 -1.596
0.68 0.68 -0.32 -1.608
0.7 0.7 -0.3 -1.62
0.72 0.72 -0.28 -1.632
0.74 0.74 -0.26 -1.644
0.76 0.76 -0.24 -1.656
0.78 0.78 -0.22 -1.668
0.8 0.8 -0.2 -1.68
0.82 0.82 -0.18 -1.692
0.84 0.84 -0.16 -1.704
0.86 0.86 -0.14 -1.716
0.88 0.88 -0.12 -1.728
0.9 0.9 -0.1 -1.74
0.92 0.92 -0.08 -1.752
0.94 0.94 -0.06 -1.764
0.96 0.96 -0.04 -1.776
0.98 0.98 -0.02 -1.788
1 1 0.0000000000067 -1.8
